cheekPuff,cheekSquintLeft,cheekSquintRight,eyeBlinkLeft,eyeBlinkRight,eyeLookDownLeft,eyeLookDownRight,eyeLookInLeft,eyeLookInRight,eyeLookOutLeft,eyeLookOutRight,eyeLookUpLeft,eyeLookUpRight,eyeSquintLeft,eyeSquintRight,eyeWideLeft,eyeWideRight,jawForward,jawLeft,jawOpen,jawRight,mouthClose,mouthDimpleLeft,mouthDimpleRight,mouthFrownLeft,mouthFrownRight,mouthFunnel,mouthLeft,mouthLowerDownLeft,mouthLowerDownRight,mouthPressLeft,mouthPressRight,mouthPucker,mouthRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthSmileLeft,mouthSmileRight,mouthStretchLeft,mouthStretchRight,mouthUpperUpLeft,mouthUpperUpRight,noseSneerLeft,noseSneerRight,tongueOut,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,
,0.0,0.0,37.0,28.0,28.0
,7.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,35.0,23.0,0.0,33.0,33.0,23.0,23.0,19.0,18.0,4.0,0.0,1.0,3.0,1.0,3.0,4.0,12.0,5.0,18.0,0.0,3.0,3.0,2.0,2.0,10.0,0.0,5.0,3.0,10.0,8.0,0.0,0.0,11.0,13.0,2.0,3.0,5.0,5.0,0.0,0.0,0.0,37.0,28.0,28.0
,7.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,35.0,23.0,0.0,33.0,33.0,23.0,23.0,19.0,18.0,4.0,0.0,1.0,3.0,1.0,3.0,4.0,12.0,5.0,18.0,0.0,3.0,3.0,2.0,2.0,10.0,0.0,5.0,3.0,10.0,8.0,0.0,0.0,11.0,13.0,2.0,3.0,5.0,5.0,0.0,0.0,0.0,37.0,28.0,28.0
,7.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,35.0,23.0,0.0,33.0,33.0,23.0,23.0,19.0,18.0,4.0,0.0,1.0,3.0,1.0,3.0,4.0,12.0,5.0,18.0,0.0,3.0,3.0,2.0,2.0,10.0,0.0,5.0,3.0,10.0,8.0,0.0,0.0,11.0,13.0,2.0,3.0,5.0,5.0,0.0,0.0,0.0,37.0,28.0,28.0
,7.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,35.0,23.0,0.0,33.0,33.0,23.0,23.0,19.0,18.0,4.0,0.0,1.0,3.0,1.0,3.0,4.0,12.0,5.0,18.0,0.0,3.0,3.0,2.0,2.0,10.0,0.0,5.0,3.0,10.0,8.0,0.0,0.0,11.0,13.0,2.0,3.0,5.0,5.0,0.0,0.0,0.0,37.0,28.0,28.0
,7.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,35.0,23.0,0.0,33.0,33.0,23.0,23.0,19.0,18.0,4.0,0.0,1.0,3.0,1.0,3.0,4.0,12.0,5.0,18.0,0.0,3.0,3.0,2.0,2.0,10.0,0.0,5.0,3.0,10.0,8.0,0.0,0.0,11.0,13.0,2.0,3.0,5.0,5.0,0.0,0.0,0.0,37.0,28.0,28.0
,7.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,35.0,23.0,0.0,33.0,33.0,23.0,23.0,19.0,18.0,4.0,0.0,1.0,3.0,1.0,3.0,4.0,12.0,5.0,18.0,0.0,3.0,3.0,2.0,2.0,10.0,0.0,5.0,3.0,10.0,8.0,0.0,0.0,11.0,13.0,2.0,3.0,5.0,5.0,0.0,0.0,0.0,37.0,28.0,28.0
,7.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,35.0,23.0,0.0,33.0,33.0,23.0,23.0,19.0,18.0,4.0,0.0,1.0,3.0,1.0,3.0,4.0,12.0,5.0,18.0,0.0,3.0,3.0,2.0,2.0,10.0,0.0,5.0,3.0,10.0,8.0,0.0,0.0,11.0,13.0,2.0,3.0,5.0,5.0,0.0,0.0,0.0,37.0,28.0,28.0
,7.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,35.0,23.0,0.0,33.0,33.0,23.0,23.0,19.0,18.0,4.0,0.0,1.0,3.0,1.0,3.0,4.0,12.0,5.0,18.0,0.0,3.0,3.0,2.0,2.0,10.0,0.0,5.0,3.0,10.0,8.0,0.0,0.0,11.0,13.0,2.0,3.0,5.0,5.0,0.0,0.0,0.0,37.0,28.0,28.0
,7.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,35.0,23.0,0.0,33.0,33.0,23.0,23.0,19.0,18.0,4.0,0.0,1.0,3.0,1.0,3.0,4.0,12.0,5.0,18.0,0.0,3.0,3.0,2.0,2.0,10.0,0.0,5.0,3.0,10.0,8.0,0.0,0.0,11.0,13.0,2.0,3.0,5.0,5.0,0.0,0.0,0.0,37.0,29.0,29.0
